Device ID,Timestamp,Device Type,Volume Unit,Volume
MTR-C001,1970-01-01 00:00:00,C,liters,3785.41
MTR-A005,2025-06-31 00:00:00,A,gallons,95.5
MTR-A001,2025-10-01 00:00:00,A,gallons,94.16
MTR-A002,2025-10-01 00:00:00,A,liters,313.13
MTR-A003,2025-10-01 00:00:00,A,liters,484.9
MTR-A004,2025-10-01 00:00:00,A,liters,536.07
MTR-A005,2025-10-01 00:00:00,A,gallons,95.43
MTR-A006,2025-10-01 00:00:00,A,gallons,107.55
MTR-A007,2025-10-01 00:00:00,A,gallons,131.84
MTR-A008,2025-10-01 00:00:00,A,liters,462.37
MTR-A009,2025-10-01 00:00:00,A,gallons,71.15
MTR-A010,2025-10-01 00:00:00,A,liters,295.23
MTR-B001,2025-10-01 00:00:00,B,liters,733.24
MTR-B002,2025-10-01 00:00:00,B,gallons,150.82
MTR-B003,2025-10-01 00:00:00,B,liters,902.67
MTR-B004,2025-10-01 00:00:00,B,liters,732.25
MTR-B005,2025-10-01 00:00:00,B,gallons,128.76
MTR-C001,2025-10-01 00:00:00,C,gallons,879.19
MTR-C002,2025-10-01 00:00:00,C,liters,2678.07
MTR-C003,2025-10-01 00:00:00,C,gallons,730.37
MTR-C004,2025-10-01 00:00:00,C,gallons,723.84
MTR-C005,2025-10-01 00:00:00,C,liters,3233.16
MTR-D001,2025-10-01 00:00:00,D,gallons,8689.61
MTR-A001,2025-10-02 00:00:00,A,gallons,104.08
MTR-A002,2025-10-02 00:00:00,A,liters,370.98
MTR-A003,2025-10-02 00:00:00,A,liters,408.48
MTR-A004,2025-10-02 00:00:00,A,liters,382.31
MTR-A005,2025-10-02 00:00:00,A,gallons,109.18
MTR-A006,2025-10-02 00:00:00,A,gallons,95.03
MTR-A007,2025-10-02 00:00:00,A,gallons,127.98
MTR-A008,2025-10-02 00:00:00,A,liters,330.46
MTR-A009,2025-10-02 00:00:00,A,gallons,114.44
MTR-A010,2025-10-02 00:00:00,A,liters,393.56
MTR-B001,2025-10-02 00:00:00,B,liters,872.58
MTR-B002,2025-10-02 00:00:00,B,gallons,253.29
MTR-B003,2025-10-02 00:00:00,B,liters,672.27
MTR-B004,2025-10-02 00:00:00,B,liters,685.28
MTR-B005,2025-10-02 00:00:00,B,gallons,184.48
MTR-C001,2025-10-02 00:00:00,C,gallons,984.38
MTR-C002,2025-10-02 00:00:00,C,liters,3337.05
MTR-C003,2025-10-02 00:00:00,C,gallons,561.2
MTR-C004,2025-10-02 00:00:00,C,gallons,1414.9
MTR-C005,2025-10-02 00:00:00,C,liters,3169.64
MTR-D001,2025-10-02 00:00:00,,gallons,7016.84
MTR-A001,2025-10-03 00:00:00,A,gallons,84.63
MTR-A002,2025-10-03 00:00:00,A,liters,245.01
MTR-A003,2025-10-03 00:00:00,A,liters,387.42
MTR-A004,2025-10-03 00:00:00,A,liters,324.66
MTR-A005,2025-10-03 00:00:00,A,gallons,117.06
MTR-A006,2025-10-03 00:00:00,A,gallons,103.49
MTR-A007,2025-10-03 00:00:00,A,gallons,98.47
MTR-A008,2025-10-03 00:00:00,A,liters,430.34
MTR-A009,2025-10-03 00:00:00,A,gallons,138.29
MTR-A010,2025-10-03 00:00:00,A,liters,324.2
MTR-B001,2025-10-03 00:00:00,B,liters,669.71
MTR-B002,2025-10-03 00:00:00,B,gallons,253.64
MTR-B003,2025-10-03 00:00:00,B,liters,490.9
MTR-B004,2025-10-03 00:00:00,B,liters,961.87
MTR-B005,2025-10-03 00:00:00,B,gallons,169.66
MTR-C001,2025-10-03 00:00:00,C,gallons,1040.11
MTR-C002,2025-10-03 00:00:00,C,liters,3806.0
MTR-C003,2025-10-03 00:00:00,C,gallons,1256.71
MTR-C004,2025-10-03 00:00:00,C,gallons,978.8
MTR-C005,2025-10-03 00:00:00,C,liters,4785.71
MTR-D001,2025-10-03 00:00:00,D,gallons,8808.73
MTR-A001,2025-10-04 00:00:00,A,gallons,87.91
MTR-A002,2025-10-04 00:00:00,A,liters,428.81
MTR-A003,2025-10-04 00:00:00,A,liters,636.09
MTR-A004,2025-10-04 00:00:00,A,liters,345.55
MTR-A005,2025-10-04 00:00:00,A,gallons,99.48
MTR-A006,2025-10-04 00:00:00,A,gallons,109.22
MTR-A007,2025-10-04 00:00:00,A,gallons,102.81
MTR-A008,2025-10-04 00:00:00,A,liters,285.13
MTR-A009,2025-10-04 00:00:00,A,gallons,74.55
MTR-A010,2025-10-04 00:00:00,A,liters,354.33
MTR-B001,2025-10-04 00:00:00,B,liters,782.86
MTR-B002,2025-10-04 00:00:00,B,gallons,101.91
MTR-B003,2025-10-04 00:00:00,B,liters,1098.73
MTR-B004,2025-10-04 00:00:00,B,liters,360.73
MTR-B005,2025-10-04 00:00:00,B,gallons,180.63
MTR-C001,2025-10-04 00:00:00,C,gallons,1019.49
MTR-C002,2025-10-04 00:00:00,C,liters,3697.12
MTR-C003,2025-10-04 00:00:00,C,gallons,944.64
MTR-C004,2025-10-04 00:00:00,C,gallons,702.48
MTR-C005,2025-10-04 00:00:00,C,liters,3204.95
MTR-D001,2025-10-04 00:00:00,D,gallons,7818.63
MTR-A001,2025-10-05 00:00:00,A,gallons,93.84
MTR-A002,2025-10-05 00:00:00,A,liters,350.03
MTR-A003,2025-10-05 00:00:00,A,liters,302.18
MTR-A004,2025-10-05 00:00:00,A,liters,411.72
MTR-A005,2025-10-05 00:00:00,A,gallons,139.15
MTR-A006,2025-10-05 00:00:00,A,gallons,88.31
MTR-A007,2025-10-05 00:00:00,A,gallons,98.02
MTR-A008,2025-10-05 00:00:00,A,liters,467.44
MTR-A009,2025-10-05 00:00:00,A,gallons,119.14
MTR-A010,2025-10-05 00:00:00,A,liters,529.19
MTR-B001,2025-10-05 00:00:00,B,liters,844.66
MTR-B002,2025-10-05 00:00:00,B,gallons,175.52
